"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"11","Carmelo Anthony","1",2564753,2564753,"PF",35,"POR",58,58,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4,12.4,0.525,0.289,0.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,NA,0.4,0.9,1.3,0.033,NA,-1.8,-1.8,-3.6,-0.8
"12","Chimezie Metu","3",5294220,1764740,"C",22,"SAS",18,0,5.8,1.3,2.3,0.571,0,0.1,0,1.3,2.2,0.6,0.571,0.6,0.7,0.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2,22.2,0.608,0.048,0.31,12.3,21.6,16.9,14.9,1.4,5,17.3,23.7,NA,0.2,0.1,0.3,0.13,NA,1.7,-0.1,1.7,0.1
"13","Chris Boucher","2",13520000,6760000,"C",27,"TOR",62,0,13.2,2.3,4.8,0.472,0.6,1.9,0.322,1.7,2.9,0.569,0.535,1.5,1.9,0.784,1.7,2.7,4.5,0.4,0.4,1,0.5,1.8,6.6,20.7,0.587,0.395,0.388,14.1,21.4,17.9,4.8,1.3,7.3,7.4,19.7,NA,2.1,1.8,3.8,0.224,NA,1,1,2,0.8
"14","Christian Wood","3",4.1e+07,13666667,"PF",24,"DET",62,12,21.4,4.6,8.2,0.567,0.9,2.3,0.386,3.8,5.9,0.636,0.62,2.9,3.9,0.744,1.7,4.6,6.3,1,0.5,0.9,1.4,1.6,13.1,23.2,0.659,0.276,0.476,8.8,24.8,16.7,7.6,1.3,3.4,12,23,NA,3.6,1.5,5.1,0.183,NA,3.5,-0.3,3.1,1.7
"15","D.J. Augustin","3",2.1e+07,7e+06,"PG",32,"ORL",57,13,24.9,3.2,8.1,0.399,1.2,3.5,0.348,2,4.6,0.438,0.475,2.8,3.2,0.89,0.4,1.8,2.1,4.6,0.6,0,1.5,1.3,10.5,14,0.554,0.436,0.393,1.6,7.8,4.6,26.8,1.2,0.1,13.7,19.1,NA,2,0.9,2.9,0.098,NA,-0.3,-1.3,-1.6,0.2
"16","Damian Jones","2",3714156,1857078,"C",24,"ATL",55,27,16.1,2.2,3.2,0.68,0,0.2,0.222,2.2,3.1,0.704,0.685,1.1,1.5,0.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6,15.6,0.712,0.051,0.472,8.9,16.2,12.5,5.6,1.4,3.8,11.5,11.4,NA,2.2,0.6,2.8,0.152,NA,-1.6,0.1,-1.5,0.1
"17","Danilo Gallinari","3",61425000,20475000,"PF",31,"OKC",62,62,29.6,5.8,13.2,0.438,2.9,7.1,0.405,2.9,6.1,0.476,0.547,4.3,4.8,0.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7,19.5,0.612,0.537,0.365,2.1,16.8,9.7,10.3,1.1,0.2,7.4,24.6,NA,4.5,1.9,6.3,0.166,NA,4.1,-0.9,3.3,2.4
"18","DaQuan Jeffries","1",1445697,1445697,"SG",22,"SAC",13,0,10.8,1.5,3.1,0.5,0.4,1.4,0.278,1.2,1.7,0.682,0.563,0.4,0.5,0.833,0.2,1.2,1.4,0.5,0.3,0.1,0.2,1.5,3.8,11.2,0.586,0.45,0.15,2.3,12.3,7.2,7.1,1.4,0.7,4.5,13.7,NA,0.2,0.1,0.3,0.1,NA,-2.8,-1.1,-3.8,-0.1
"19","De'Anthony Melton","4",34627688,8656922,"PG",21,"MEM",60,8,19.5,2.7,6.7,0.401,0.7,2.3,0.286,2,4.4,0.464,0.451,1.6,2,0.769,0.7,3,3.7,2.9,1.3,0.3,1.4,1.8,7.6,13.5,0.501,0.349,0.302,4,15.7,9.9,20.1,3.1,1.5,15.6,19.2,NA,0.1,1.7,1.7,0.072,NA,-2.2,2,-0.2,0.5
"20","DeAndre' Bembry","2",3714156,1857078,"SG",25,"ATL",43,4,21.3,2.4,5.3,0.456,0.3,1.5,0.231,2.1,3.8,0.546,0.489,0.6,1.1,0.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2,5.8,9.6,0.5,0.285,0.211,3.9,14.1,8.9,12.3,2.8,1.7,19.4,14,NA,-0.5,0.8,0.2,0.012,NA,-3.5,1.1,-2.5,-0.1
"21","Derrick Favors","3",29162700,9720900,"C",28,"NOP",51,49,24.4,4.1,6.6,0.617,0,0.1,0.143,4.1,6.5,0.627,0.618,0.8,1.4,0.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9,18.5,0.62,0.021,0.209,13.9,28.9,21.4,9.2,1.1,3.1,12.9,14,NA,2.6,1.6,4.2,0.162,NA,0.7,0.3,1,0.9
"22","Derrick Jones Jr.","2",18978900,9489450,"SF",22,"MIA",59,16,23.3,3.1,5.9,0.527,0.6,2.2,0.28,2.5,3.7,0.677,0.58,1.6,2.1,0.772,1.1,2.8,3.9,1.1,1,0.6,0.5,2.2,8.5,14.9,0.62,0.378,0.352,5.6,13.1,9.5,6.7,2.1,2.7,6.9,13.9,NA,2.6,1.8,4.4,0.153,NA,-0.3,1.1,0.7,1
"23","Drew Eubanks","3",5294220,1764740,"C",22,"SAS",22,3,12.4,2,3,0.642,0,0,1,1.9,3,0.636,0.649,0.9,1.2,0.769,1.3,2.6,3.9,0.7,0.2,0.8,1,1.7,4.9,17.3,0.682,0.015,0.388,11.1,22.6,16.8,7.7,0.9,5.5,21.1,15.8,NA,0.5,0.3,0.8,0.134,NA,-1.4,-0.4,-1.8,0
"24","Dwayne Bacon","2",3502857,1751429,"SG",24,"CHO",39,11,17.6,2.2,6.3,0.348,0.5,1.7,0.284,1.7,4.5,0.373,0.387,0.9,1.4,0.66,0.4,2.2,2.6,1.3,0.6,0.1,0.9,1.3,5.7,6.1,0.419,0.275,0.217,2.3,14,7.9,11.7,1.7,0.3,12.2,19.5,NA,-1.2,0.4,-0.8,-0.053,NA,-5.9,-0.9,-6.8,-0.8
"25","Dwight Howard","1",2564753,2564753,"C",34,"LAL",69,2,18.9,2.9,4,0.729,0,0.1,0.6,2.9,3.9,0.732,0.735,1.6,3.1,0.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,18.7,0.696,0.018,0.773,14.6,27.8,21.2,4.8,1.1,5.4,18.5,14.7,NA,2.8,2.6,5.4,0.197,NA,-1,1.2,0.2,0.7
"26","Elfrid Payton","1",4767000,4767000,"PG",25,"NYK",45,36,27.7,4.3,9.8,0.439,0.3,1.5,0.203,4,8.2,0.482,0.455,1.1,1.9,0.57,1.2,3.6,4.7,7.2,1.6,0.4,2.1,2,10,16,0.47,0.157,0.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,NA,0.5,1.2,1.7,0.065,NA,-0.4,0.4,0,0.6
"27","Frank Jackson","2",3502857,1751429,"PG",21,"NOP",59,2,13.5,2.3,5.6,0.405,0.8,2.4,0.326,1.5,3.2,0.465,0.476,0.9,1.3,0.747,0.4,1,1.4,1,0.3,0.1,0.8,1.3,6.3,9.1,0.51,0.435,0.227,2.9,8.1,5.5,10.8,1,0.4,11.9,21.2,NA,-0.2,0.3,0.2,0.01,NA,-3.3,-2.2,-5.5,-0.7
"28","Frank Kaminsky","1",1882867,1882867,"C",26,"PHO",39,13,19.9,3.5,7.9,0.45,1.1,3.2,0.331,2.5,4.7,0.53,0.516,1.6,2.3,0.678,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7,14.2,0.545,0.404,0.293,4.9,20.4,12.6,14.3,0.9,1.1,9.6,21,NA,0.7,0.7,1.4,0.087,NA,-0.1,-0.4,-0.5,0.3
